nr;nume;prenume;sex;localitate;;
130;Scăeşteanu;Silvia;f;Bucureşti;;
131;Dobranici;Doina;f;Bucureşti;;
132;Bran;Cristian;m;Bucureşti;;
133;Canea;Cătălin;m;Bucureşti;;
134;Fediuc;Gh.Marian;m;Bucureşti;;
135;Plăveti;Nicolae Dorin;m;Bucureşti;;
136;Pârvan;Violeta;f;Bucureşti;;
137;Iehim;Viorel;m;Buftea;;
138;Benescu;Cătălin;m;Buftea;;
139;Dobra;Camelia Ofelia;f;Buftea;;
140;Voican;Mădălina;f;Buftea;;
141;Milea;Anghel;m;Feteşti;;
142;Milos;Marius Emil;m;Roşiorii de Vede;;
143;Agiu;Iulian;m;Roşiorii de Vede;;
144;Impungerouă;Nicolae;m;Videle;;
145;Mihăiţă;Marian;m;Alexandria;;
146;Nistor;Vasile;m;Zimnicea;;
147;Horovath;Sorin;m;Alexandria;;
148;Niţu;Ion;m;Slobozia;;
149;Banciu;Constantin;m;Slobozia;;
150;Constantin;Radu;m;Urziceni;;
151;Bărbulescu;Constantin;m;Bolintin Vale;;
152;Iordache;Ion;m;Giurgiu;;
153;Martin;Constantin;m;Giurgiu;;
154;Gogoaşe-Popescu;Florin Bebe;m;Giurgiu;;
155;Stoian;Valentin;m;Călăraşi;;
156;Şerban;Victor;m;Călăraşi;;
157;Mihalcea;Ionel;m;Călăraşi;;
158;Ene;Alexandru;m;Olteniţa;;
159;Oprişan;Constantin;m;Lehliu Gară;;
160;Stolnean;Romeo-Marius;m;Cluj Napoca;;
161;Cîmpian;Mihai Radu;m;Cluj Napoca;;
162;Boloş;Mircea;m;Cluj Napoca;;
163;Popa;Nicolae Fanfany;m;Cluj Napoca;;
164;Marian;Daniel;m;Turda;;
165;Şipoş;Alexandru;m;Dej;;
166;Potra;Iulian Adrian;m;Huedin;;
167;Moldovan;Ion Florin;m;Gherla;;
168;Ivanov;Emilian Giani;m;Bistriţa;;
169;Manchevici;Marin;m;Bistriţa;;
170;Andronesi;V.Dorin;m;Bistriţa;;
171;Ilovan;Dumitru;m;Năsăud;;
172;Sârbu;Viorel;m;Năsăud;;
173;Mureşan;Vasile Mircea;m;Beclean;;
174;Vucea;Gheorghe;m;Baia Mare;;
175;Morari;Marius Iacob;m;Baia Mare;;
176;Bud;Robert Mihai;m;Baia Mare;;
177;Şimon;Attila;m;Baia Mare;;
178;Coman;Gheorghe Gavril;m;Sighet. Marmaţiei;;
179;Batin;Petru;m;Sighet. Marmaţiei;;
180;Bucur;Ioan;m;Vişeu de Sus;;
181;Aniţei;Dorel;m;Vişeu de Sus;;
182;Stoica;Ioan Alin;m;Târgu Lăpuş;;
183;Oszoczki;Marton;m;Zalău;;
184;Ţurcaş;Ioan;m;Zalău;;
185;Kovacs;Levente Ferenc;m;Zalău;;
186;Roman;Mariana;f;Dragomireşti;;
187;Amişculisei;Radu;m;Şomcuta Mare;;
188;Dumbravă;Dumitru;m;Tulcea;;
189;Stoica-Constantin;Adrian;m;Constanţa;;
190;Vasile;Dumitru Gabriel;m;Constanţa;;
191;Deacu;Vasile;m;Constanţa;;
192;Gavrilescu;Alin;m;Constanţa;;
193;Volintiru;Ştefan;m;Constanţa;;
194;Pană;Marian;m;Constanţa;;
195;Malciu;Aurel;m;Constanţa;;
196;Romanescu;Adrian;m;Constanţa;;
197;Munteanu;Ionel;m;Constanţa;;
198;Grasu;Gelu Iulian;m;Mangalia;;
199;Solomon;Nicolae;m;Medgidia;;
200;Pîrju;Marian;m;Medgidia;;
201;Cojocaru;Bagdan Mihai;m;Medgidia;;
202;Casapu;Cătălin;m;Tulcea;;
203;Vlad;Irinel;dk;Tulcea;;
204;Cornea;Pompiliu;m;Tulcea;;
205;Bănea;Alexandru;m;Macin;;
206;Dorache;Nicolae;m;Babadag;;
207;Ivanovici;Cristodor Ctin.;m;Craiova;;
208;lacob;Mircea;m;Craiova;;
209;Balaci;Titi;m;Craiova;;
210;Talpa-Neacşu;C.Florian;m;Craiova;;
211;Terpovici;L.Bogdan;m;Craiova;;
212;Balica;Marius-Eugen;m;Craiova;;
213;Prodan;Apostol;dk;Calafat;;
214;Crînguş;Florina;f;Filiaşi;;
215;Olaru;Constantin;m;Târgu Jiu;;
216;Talianu;Savu;m;Târgu Jiu;;
217;Trancă;Nicuşor;m;Târgu Jiu;;
218;Enea;Marin;m;Târgu Jiu;;
219;Bârsăşteanu;Florian;m;Târgu Jiu;;
220;Vonica;Filimon;m;Novaci;;
221;Matei;Marian;m;Slatina;;
222;Vlad;Constantin;m;Slatina;;
223;Păvăloiu;Georgeta;f;Slatina;;
224;Neda;Ion;m;Caracal;;
225;Rafailă;Vasile;m;Caracal;;
226;Ispas;George;m;Corabia;;
227;Dîrloagă;Florinei;dk;Strehaia;;
228;Dumitrescu;Alfred Ctin;m;Dr. Tr. Severin;;
